Family,Species,Genus,Epithet,Author(s),Status,UsageID,Tax source,Reference I,Reference II,Reference III,Hemi,,,
Apocynaceae,Hoya linearis,Hoya,linearis,Wall. ex D.Don,accepted,wfo-0000725339,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya lipoensis,Hoya,lipoensis,P.T.Li & Z.R.Xu,accepted,wfo-0000725340,wfo,Flora of China (2008),,,,,,
Apocynaceae,Hoya litoralis,Hoya,litoralis,Schltr.,ambiguous,wfo-0000725341,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya lockii,Hoya,lockii,V.T.Pham & Aver.,,,powo,Pham and Averyanov (2012),,,,,,
Apocynaceae,Hoya loheri,Hoya,loheri,Kloppenb.,ambiguous,wfo-0000725343,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya longifolia,Hoya,longifolia,Wall. ex Wight,accepted,wfo-0000725345,wfo,Flora of China (2008),,,,,,
Apocynaceae,Hoya lucyae,Hoya,lucyae,Kloppenb. & Siar,ambiguous,wfo-0000507426,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya macgillivrayi,Hoya,macgillivrayi,F.M.Bailey,ambiguous,wfo-0000725349,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya macrophylla,Hoya,macrophylla,Blume,ambiguous,wfo-0000725350,wfo,Eskov (pers. comm.),,,,,,
Apocynaceae,Hoya maingayi,Hoya,maingayi,Hook.f.,ambiguous,wfo-0000725356,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya marginata,Hoya,marginata,Schltr.,ambiguous,wfo-0000725357,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya mcgregorii,Hoya,mcgregorii,Schltr.,ambiguous,wfo-0000725360,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya medinillifolia,Hoya,medinillifolia,Rodda & Simonsson,,,powo,WCSP (2019),,,,,,
Apocynaceae,Hoya mengtzeensis,Hoya,mengtzeensis,Tsiang & P.T.Li,accepted,wfo-0000725370,wfo,Flora of China (2008),Kloppenburg (2004),,,,,
Apocynaceae,Hoya meredithii,Hoya,meredithii,T.Green,ambiguous,wfo-0000725371,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya merrillii,Hoya,merrillii,Schltr.,ambiguous,wfo-0000725372,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya micrantha,Hoya,micrantha,Hook.f.,ambiguous,wfo-0000725373,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya microphylla,Hoya,microphylla,Schltr.,ambiguous,wfo-0000725375,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya microstemma,Hoya,microstemma,Schltr.,ambiguous,wfo-0000725376,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya minahassae,Hoya,minahassae,Schltr.,ambiguous,wfo-0000725377,wfo,Schlechter (1916),Kloppenburg (2004),,,,,
Apocynaceae,Hoya mindorensis,Hoya,mindorensis,Schltr.,ambiguous,wfo-0000725379,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya minima,Hoya,minima,Costantin,ambiguous,wfo-0000725380,wfo,Eskov (pers. comm.),,,,,,
Apocynaceae,Hoya minutiflora,Hoya,minutiflora,Rodda & Simonsson,ambiguous,wfo-0000746587,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya mirabilis,Hoya,mirabilis,Kidyoo,,,powo,Kidyoo (2012),,,,,,
Apocynaceae,Hoya mitrata,Hoya,mitrata,Kerr,ambiguous,wfo-0000725381,wfo,Weissflog et al. (1999),Kloppenburg (2004),,,,,
Apocynaceae,Hoya montana,Hoya,montana,Schltr.,ambiguous,wfo-0000725383,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya multiflora,Hoya,multiflora,Blume,accepted,wfo-0000725388,wfo,Rahayu (2010),Kloppenburg (2004),,,,,
Apocynaceae,Hoya myanmarica,Hoya,myanmarica,P.T.Li,ambiguous,wfo-0000725389,wfo,Kloppenburg (2004),,,,,,
